id,dataset,hour_of_day,trips,avg_fare,avg_tip,avg_duration,data_month,recorded_at
1,yellow,0,64804,19.15,3.66,15.2,2025-01,2026-07-06 23:14:18.468046
2,yellow,1,43462,17.14,3.28,14.8,2025-01,2026-07-06 23:14:18.468046
3,yellow,2,29271,16.08,3.07,14.3,2025-01,2026-07-06 23:14:18.468046
4,yellow,3,18972,17.16,3.09,14.1,2025-01,2026-07-06 23:14:18.468046
5,yellow,4,12174,23.1,3.78,16.9,2025-01,2026-07-06 23:14:18.468046
6,yellow,5,15470,27.51,5.27,19.2,2025-01,2026-07-06 23:14:18.468046
7,yellow,6,35368,21.9,4.15,16.5,2025-01,2026-07-06 23:14:18.468046
8,yellow,7,73954,18.45,3.79,15.1,2025-01,2026-07-06 23:14:18.468046
9,yellow,8,104715,17.53,3.72,14.8,2025-01,2026-07-06 23:14:18.468046
10,yellow,9,118937,17.81,3.87,14.9,2025-01,2026-07-06 23:14:18.468046
11,yellow,10,129557,17.97,3.96,15.1,2025-01,2026-07-06 23:14:18.468046
12,yellow,11,140751,17.54,3.92,15.0,2025-01,2026-07-06 23:14:18.468046
13,yellow,12,153065,17.72,3.97,15.2,2025-01,2026-07-06 23:14:18.468046
14,yellow,13,158432,18.32,4.1,15.5,2025-01,2026-07-06 23:14:18.468046
15,yellow,14,170511,19.16,4.28,15.8,2025-01,2026-07-06 23:14:18.468046
16,yellow,15,176142,18.98,4.19,15.6,2025-01,2026-07-06 23:14:18.468046
17,yellow,16,177633,19.35,4.54,15.4,2025-01,2026-07-06 23:14:18.468046
18,yellow,17,190575,18.01,4.27,14.9,2025-01,2026-07-06 23:14:18.468046
19,yellow,18,206249,16.9,4.09,14.3,2025-01,2026-07-06 23:14:18.468046
20,yellow,19,169994,17.59,4.19,14.6,2025-01,2026-07-06 23:14:18.468046
21,yellow,20,148727,18.03,4.21,14.8,2025-01,2026-07-06 23:14:18.468046
22,yellow,21,147884,18.3,4.27,15.0,2025-01,2026-07-06 23:14:18.468046
23,yellow,22,130029,19.12,4.38,15.3,2025-01,2026-07-06 23:14:18.468046
24,yellow,23,96867,20.32,4.5,15.7,2025-01,2026-07-06 23:14:18.468046
